a	0.23300467047223664
x	0.10841156767467094
b	0.04642166344294004
h	0.04566683964711987
c	0.045147898287493514
t	0.04420436854271831
n	0.03943954333160353
d	0.03708071896966552
k	0.03665613058451668
q	0.03623154219936783
m	0.03519365948011511
z	0.03198565834787942
l	0.0316554229372081
s	0.031136481577581733
v	0.02589989149407935
p	0.022031419540501015
u	0.01929518328065292
e	0.015426711327074585
y	0.015379534839835826
o	0.014860593480209464
f	0.012926357503420294
g	0.010095768269094684
â	0.009954238807378403
i	0.009010709062603199
w	0.008774826626409398
j	0.008633297164693117
r	0.007878473368872953
ã	0.007784120394395433
æ	0.005944237392083785
ä	0.003443883568429495
å	0.0004245883851488418
