LLLLLLLLL	0.9588585853744268
UUUUUUUUU	0.02225630701880522
ULLLLLLLL	0.014044001342088866
LLLLLLLLU	0.0008627714135071658
ULLLLULLL	0.0008627714135071658
ULLLULLLL	0.0006071354391346723
UUUUULLLL	0.00020770422917765102
LLLLLUUUU	0.00019172698077937018
LLLUUULLL	0.00017574973238108934
UUUULLLLL	0.00017574973238108934
UUULLLLLL	0.00015977248398280848
LLLLLLUUU	0.00014379523558452764
ULLLLLULL	0.00014379523558452764
ULLULLLLL	0.0001278179871862468
LLLLLLLUU	0.00011184073878796593
UULLLLLLL	0.00011184073878796593
LLLLUUUUU	9.586349038968509e-05
LLLLLULLL	6.39089935931234e-05
LLLLULLLL	6.39089935931234e-05
LULLLLLLL	6.39089935931234e-05
ULLLLLLLU	6.39089935931234e-05
LLLULLLLL	4.7931745194842545e-05
LLULLLLLL	4.7931745194842545e-05
UUUUUULLL	4.7931745194842545e-05
LUUUUUUUU	3.19544967965617e-05
ULLLLUUUU	3.19544967965617e-05
UULLLULLL	3.19544967965617e-05
LLLLLLLUL	1.597724839828085e-05
LLLLLLULL	1.597724839828085e-05
LLLLLLULU	1.597724839828085e-05
LLLLUUULL	1.597724839828085e-05
LLLUUUULL	1.597724839828085e-05
LLLUUUUUL	1.597724839828085e-05
LLLUUUUUU	1.597724839828085e-05
LLULLLLLU	1.597724839828085e-05
LLUULLLLL	1.597724839828085e-05
LLUUUUUUU	1.597724839828085e-05
ULLLLULLU	1.597724839828085e-05
ULLLULLUL	1.597724839828085e-05
ULLLULULL	1.597724839828085e-05
ULLULLLUL	1.597724839828085e-05
ULLULLULL	1.597724839828085e-05
ULULLULLL	1.597724839828085e-05
ULULLULUL	1.597724839828085e-05
ULULULULU	1.597724839828085e-05
UUULLLUUU	1.597724839828085e-05
UUUULLLLU	1.597724839828085e-05
UUUUUUULL	1.597724839828085e-05
UUUUUUULU	1.597724839828085e-05
UUUUUUUUL	1.597724839828085e-05
